Initial Stats:
Initial distribution of soil types: {'desert': 7001, 'steppe': 1199, 'field': 900, 'forest': 900}
Total initial grass: 100000
Tick, Total cows, Average Age, Total Grass
677, 9668, 31, 180395
678, 9683, 31, 179704
679, 9689, 31, 179957
680, 9694, 32, 180574
681, 9690, 32, 180559
682, 9664, 32, 180335
683, 9659, 32, 180975
684, 9608, 32, 180455
685, 9596, 32, 181218
686, 9616, 32, 179145
687, 9589, 32, 180890
688, 9560, 32, 179921
689, 9545, 33, 180907
690, 9523, 33, 179862
691, 9472, 33, 180521
692, 9446, 33, 180357
693, 9438, 33, 181414
694, 9431, 33, 180656
695, 9429, 33, 181003
696, 9422, 33, 180479
697, 9415, 33, 180632
698, 9425, 33, 181065
699, 9418, 33, 181439
700, 9480, 33, 171383
701, 9521, 33, 174007
702, 9547, 33, 171754
703, 9578, 33, 169641
704, 9632, 33, 169667
705, 9671, 33, 167714
706, 9705, 33, 166529
707, 9733, 33, 166952
708, 9770, 33, 167181
709, 9819, 33, 166517
710, 9839, 33, 166480
711, 9874, 33, 165590
712, 9902, 33, 166159
713, 9943, 33, 166003
714, 10003, 32, 165074
715, 10023, 32, 165744
716, 10094, 32, 165352
717, 10142, 32, 166648
718, 10203, 32, 165495
719, 10264, 32, 165404
720, 10349, 32, 165193
721, 10379, 32, 164620
722, 10418, 32, 165305
723, 10483, 32, 165705
724, 10544, 31, 165356
725, 10530, 31, 176405
726, 10501, 31, 177167
727, 10458, 31, 184250
728, 10431, 31, 181310
729, 10424, 31, 186032
730, 10433, 31, 180015
731, 10443, 30, 182199
732, 10464, 30, 178383
733, 10488, 30, 181314
734, 10485, 30, 179815
735, 10491, 30, 181134
736, 10513, 30, 178493
737, 10522, 30, 180462
738, 10522, 30, 178719
739, 10500, 30, 181975
740, 10521, 30, 178957
741, 10538, 30, 181745
742, 10564, 30, 178885
743, 10594, 30, 180415
744, 10582, 30, 179660
745, 10580, 30, 181160
746, 10603, 30, 179046
747, 10608, 30, 180983
748, 10635, 30, 179464
749, 10680, 30, 181259
750, 10612, 30, 182595
751, 10546, 30, 179527
752, 10505, 30, 179952
753, 10429, 30, 179816
754, 10387, 30, 181379
755, 10317, 30, 180110
756, 10241, 30, 180164
757, 10155, 30, 179433
758, 10069, 30, 181319
759, 9988, 30, 180615
760, 9937, 30, 180198
761, 9888, 30, 180918
762, 9809, 30, 180966
763, 9721, 30, 181508
764, 9650, 30, 180900
765, 9582, 30, 181205
766, 9545, 30, 181272
767, 9485, 30, 181082
768, 9408, 31, 181016
769, 9347, 31, 181531
770, 9299, 31, 181297
771, 9220, 31, 181847
772, 9151, 31, 182150
773, 9105, 31, 182055
774, 9056, 31, 181717
775, 9050, 31, 178320
776, 9065, 31, 180919
777, 9085, 31, 181273
778, 9077, 32, 181109
779, 9048, 32, 181342
780, 9021, 32, 181666
